Target- Personal Loan,Age,Experience,Income,ZIP Code,Family,CCAvg,Education,Mortgage,Securities Account,CD Account,Online,CreditCard
0,25,1,49,91107,4,1.6,1,0,1,0,0,0
0,45,19,34,90089,3,1.5,1,0,1,0,0,0
0,39,15,11,94720,1,1,1,0,0,0,0,0
0,35,9,100,94112,1,2.7,2,0,0,0,0,0
0,35,8,45,91330,4,1,2,0,0,0,0,1
0,37,13,29,92121,4,0.4,2,155,0,0,1,0
0,53,27,72,91711,2,1.5,2,0,0,0,1,0
0,50,24,22,93943,1,0.3,3,0,0,0,0,1
0,35,10,81,90089,3,0.6,2,104,0,0,1,0
1,34,9,180,93023,1,8.9,3,0,0,0,0,0
1,38,14,130,95010,4,4.7,3,134,0,0,0,0
1,46,21,193,91604,2,8.1,3,0,0,0,0,0
1,38,13,119,94104,1,3.3,2,0,0,1,1,1
1,42,18,141,94114,3,5,3,0,1,1,1,0
1,32,7,132,90019,4,1.1,2,412,0,0,1,0
1,37,12,194,91380,4,0.2,3,211,1,1,1,1
1,50,26,190,90245,3,2.1,3,240,0,0,1,0
1,56,31,131,95616,2,1.2,3,0,0,0,0,0
1,31,7,135,94901,4,3.8,2,0,0,1,1,1
1,54,30,133,93305,2,2.6,3,0,0,0,0,0
1,55,30,118,90277,4,5.6,2,0,0,0,1,0
1,58,34,149,93720,4,7.2,2,0,0,1,1,1
1,26,0,132,92834,3,6.5,3,0,0,0,0,1
1,29,0,134,95819,4,6.5,3,0,0,0,0,0
1,42,17,168,95503,2,7.9,2,0,0,0,1,0
1,29,3,148,92173,3,4.1,1,0,0,0,1,0
1,46,21,159,94305,3,1.9,3,315,0,0,1,0
1,36,11,158,92152,1,5.1,3,0,0,1,1,1
1,64,39,172,94707,4,3.1,1,282,0,1,1,1
1,65,39,170,90095,3,7.9,3,99,0,1,1,0
1,53,29,120,92626,4,2.7,2,111,1,1,1,0
1,54,28,170,92182,2,6.2,2,325,0,0,1,0
1,65,41,134,91942,3,3.9,3,121,0,0,1,0
1,42,16,111,93106,2,1.2,3,251,0,0,1,0
1,44,19,172,94306,2,4.3,3,391,1,1,1,0
1,41,15,159,90057,1,5.5,3,0,0,1,1,0
1,49,25,195,95605,4,3,1,617,0,0,0,0
1,57,31,165,95054,1,1.6,2,0,0,0,1,0
1,40,16,119,91335,2,4.2,2,0,0,0,1,0
1,44,20,101,92717,3,4.4,2,82,0,0,0,0
1,63,39,101,92007,1,3.9,1,0,1,1,1,0
1,59,34,99,90034,1,4.4,1,0,0,0,0,0
1,56,30,158,90089,4,6.1,1,0,0,0,0,0
1,40,15,173,95060,4,6.6,1,0,0,1,1,1
1,26,2,60,93407,2,3,1,132,0,0,0,0
1,28,4,155,92182,4,5.3,2,0,0,0,1,0
1,57,32,174,90089,1,6.8,2,466,0,0,1,0
1,65,41,133,94904,4,2,1,0,0,0,0,1
1,54,30,100,95814,4,3.4,3,0,0,0,0,0
1,36,10,179,94542,3,6.6,1,0,0,0,1,0
1,28,3,115,92333,4,3.1,2,0,0,0,0,0
1,58,32,113,93943,2,3.8,2,119,0,1,1,1
1,58,28,122,95136,1,3,3,115,0,0,1,0
1,29,4,183,91423,3,8.3,3,0,0,0,1,0
1,48,22,149,94928,2,5.5,2,0,1,1,1,0
1,43,19,83,94305,4,3.6,3,0,0,0,0,1
1,64,39,182,93955,1,1.2,2,547,0,0,1,0
1,43,19,152,92008,3,6.1,2,0,0,0,0,0
1,56,32,173,94022,1,4.6,2,88,0,1,1,0
1,36,12,69,94305,3,3.1,2,0,0,0,1,0
1,64,39,122,90089,4,0.2,1,378,0,0,1,0
1,44,20,131,90717,1,4.9,3,0,0,0,1,0
1,53,28,175,95060,3,3.6,3,0,0,1,1,1
1,49,25,161,94928,3,6.5,2,485,1,1,0,0
1,48,22,152,94022,1,3.5,3,0,0,0,1,0
1,28,3,170,95014,1,0.1,3,0,0,0,0,0
1,33,8,115,91129,4,2.9,2,0,0,0,1,0
1,57,32,165,94720,4,2.7,3,0,0,0,1,0
1,47,22,122,90037,1,5.1,3,163,1,0,0,0
1,54,29,129,93940,4,4.2,3,0,0,0,0,0
1,65,41,185,93561,3,2,2,0,0,0,0,0
1,65,41,105,92612,1,3,2,282,1,1,1,0
1,34,9,164,94720,1,6,3,0,0,0,1,0
1,35,9,109,92709,3,4,1,0,0,0,0,0
1,45,21,132,91103,3,1.2,2,0,0,1,1,1
1,45,20,114,94720,2,4.4,2,0,0,0,0,0
1,61,35,152,91016,3,3.3,3,0,0,0,1,0
1,64,37,138,94709,2,2.8,2,0,0,0,1,0
1,47,21,109,95822,4,1.8,1,0,0,0,0,0
1,26,2,172,94551,2,6.9,2,0,0,0,1,0
1,54,28,165,92093,1,4.1,3,0,0,1,1,1
1,50,26,135,92121,2,4.6,3,91,0,0,1,0
1,53,28,192,94304,2,6.4,3,0,0,0,0,0
1,56,32,158,94588,3,3.7,3,0,0,0,1,0
1,54,30,194,92056,3,6,3,587,1,1,1,1
1,45,15,202,91380,3,10,3,0,0,0,0,0
